id,headline,snippet,url,word_count
5a85e9d310f40f00018c1421,"b'Inflation and Stocks Are Both Up, and That\xe2\x80\x99s Stirring Some Worries'","b'It\xe2\x80\x99s long been believed that inflation and higher interest rates are bad for stock prices. Now, it\xe2\x80\x99s unclear how the markets will react.'",https://www.nytimes.com/2018/02/15/business/inflation-stocks-interest-rates.html,1105
5aea0088068401528a2abe36,"b'Instant View-Fed Holds Rates Steady, Confident in Inflation Outlook'","b""The Federal Reserve held interest rates steady on Wednesday and expressed confidence that a recent rise in inflation to near the U.S. central bank's 2 percent target would be sustained, leaving it on track to raise borrowing costs in June.""",https://www.nytimes.com/reuters/2018/05/02/business/02reuters-usa-fed-instant.html,2027
5a67ceb210f40f00018bd672,b'The Durability of Inflation Derp',b'Bad predictions of inflation are good for your career.',https://www.nytimes.com/2018/01/23/opinion/the-durability-of-inflation-derp.html,537
5a8564d010f40f00018c1253,b'Why Is It So Hard for Democracy to Deal With Inequality?',b'Thomas Piketty has a few ideas.',https://www.nytimes.com/2018/02/15/opinion/democracy-inequality-thomas-piketty.html,1963
5a84bd0610f40f00018c10d7,b'How Inflation Works (or Why Your Chicken Is Going to Cost More)',b'Inflation has become a worrisome byproduct of a healthy economy. This is how price increases can start with demand for building materials and translate to the price of chicken.',https://www.nytimes.com/interactive/2018/02/14/business/economy/inflation-prices.html,0
5aa1c091068401528a2918a1,b'What History Has to Say About the \xe2\x80\x98Winners\xe2\x80\x99 in Trade Wars',b'Has President Trump studied the Smoot-Hawley act of 1930? Or the McKinley tariff act of 1890? Maybe he should.',https://www.nytimes.com/2018/03/08/business/tariff-trump-trade-wars.html,1245
5a3b94b27c459f246b63c35a,b'You Cannot Be Too Cynical About the Republican Tax Bill',"b'The speed with which it passed is a problem, but the law itself is much worse.'",https://www.nytimes.com/2017/12/21/opinion/republican-tax-bill-trump-corker.html,2486
5a7cb4e910f40f00018c0528,b'From (Crumbling) Airport to (Broken) Escalators: An Infrastructure Odyssey',"b'President Trump has talked about a huge infrastructure investment, but can we even make the trains run on time? Our beleaguered columnist is skeptical.'",https://www.nytimes.com/2018/02/08/business/airport-infrastructure-trump.html,1406
5a7373f210f40f00018bf0a4,"b'Trump Tax Cuts and the Economy: Time Will Tell, Maybe'","b'President Trump is taking plenty of credit for positive economic signs \xe2\x80\x94 the stock market, jobs, growth. Is it warranted?'",https://www.nytimes.com/2018/02/01/business/economy/trump-tax-cuts-economy.html,1495
5a21c7d17c459f246b63860a,b'The Senate Tax Bill Is Expected to Change. Here\xe2\x80\x99s What We Know.',b'A last-minute scramble to shore up support from wavering Republican senators injected significant changes in several areas of the bill.',https://www.nytimes.com/2017/12/01/business/senate-tax-bill-changes.html,741
59ff6be07c459f246b632bb0,"b'William Dudley, New York Fed President, Is Expected to Retire'","b'Mr. Dudley, who led the regional bank in the wake of the financial crisis, is a vocal proponent of improving the \xe2\x80\x9cculture\xe2\x80\x9d at big banks.'",https://www.nytimes.com/2017/11/05/business/new-york-fed-dudley-retire.html,765
5a25aa387c459f246b638c18,"b'John Anderson, Who Ran Against Reagan and Carter in 1980, Is Dead at 95'","b'Drawing support from moderate to liberal Republicans and liberal Democrats, Mr. Anderson held the spotlight for a while before voters turned to candidates who they believed could actually win.'",https://www.nytimes.com/2017/12/04/us/politics/john-anderson-who-ran-against-reagan-and-carter-in-1980-is-dead-at-95.html,1900
599fcfe47c459f246b620074,"b'Jack Rosenthal, the Man and His Words'",b'Remembering the late editor of the editorial page.',https://www.nytimes.com/2017/08/25/opinion/jack-rosenthal-the-man-and-his-words.html,532
5901ace87c459f24986dc61f,b'Black People Are Not All \xe2\x80\x98Living in Hell\xe2\x80\x99',b'The black upper middle class is ascending the economic ladder at a faster rate than its white counterpart.',https://www.nytimes.com/2017/04/27/opinion/black-people-are-not-all-living-in-hell.html,1797
593950f27c459f24986e4c34,"b'Broadway Tickets, for the Price of an Economics Lesson'","b'Dynamic pricing has come to air travel, hotel rooms and sports events, so why not a $1,450 theater seat? But (spoiler alert!) you can still come out ahead.'",https://www.nytimes.com/2017/06/08/business/broadway-theater-ticket-prices.html,1299
5926f3c07c459f24986e1a80,"b'Buy? Sell? Politics May Move the Market, but Rarely for Long'","b'Whether Brexit or Brazil, scandal or crisis, what seems momentous news can be shaky ground for investment decisions, as some hedge funds have found.'",https://www.nytimes.com/2017/05/25/business/stock-market-politics-volatility.html,1338
597900ae7c459f246b61b21d,b'Why \xe2\x80\x98Skinny\xe2\x80\x99 Obamacare Repeal Is a Terrible Idea',"b'A loss of coverage for millions, less market competition and a bigger bill for the government.'",https://www.nytimes.com/2017/07/26/opinion/obamacare-repeal-terrible-idea.html,800
5ae8d4fa068401528a2abb36,"b""In Unexpected Move, S&P Cuts Turkey's Rating Deeper Into 'Junk'""","b""In an unexpected move, Standard &amp; Poor's cut its sovereign debt rating on Turkey further into junk territory on Tuesday, citing widening concern about the outlook for inflation amid a sell-off in the lira currency.""",https://www.nytimes.com/reuters/2018/05/01/business/01reuters-turkey-ratings.html,125
589c9c247c459f2525d1b585,b'Endowment Sweepstakes: How Tiny Houghton College Beat Harvard',b'Houghton College outperformed colleges with the biggest endowments by getting out of hedge funds and moving to a mix of low-cost index funds and mutual funds.',https://www.nytimes.com/2017/02/09/business/college-endowment-investment-returns.html,1407
5a0eb34c7c459f246b635b84,b'The Day Wall Street Collapsed',"b'Diana B. Henriques\xe2\x80\x99s \xe2\x80\x9cA First-Class Catastrophe\xe2\x80\x9d is a minute-by-minute account of the stock market disaster of Oct. 19, 1987.'",https://www.nytimes.com/2017/11/17/books/review/diana-b-henriques-a-first-class-catastrophe.html,906
57d996e47c459f227dbaae80,b'Why We Should Stop Grading Students on a Curve',b'Turning college into a zero-sum game hurts their chances of succeeding after graduation.',https://www.nytimes.com/2016/09/11/opinion/sunday/why-we-should-stop-grading-students-on-a-curve.html,1400
